nohup: ignoring input
Model Params: 30.03M
Trainable Params: 30.025M
Model Params: 30.03M
Trainable Params: 30.025M
Epoch:[1/1](42/500), Reward: 0.3514, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0002, Adv Std: 0.9249, Actor Loss: 0.0000, Avg Len: 153, LR: 0.00000098
Epoch:[1/1](43/500), Reward: 0.3463, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0044, Adv Std: 0.9250, Actor Loss: 0.0000, Avg Len: 151, LR: 0.00000098
Epoch:[1/1](44/500), Reward: 0.2985, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0013, Adv Std: 0.9241, Actor Loss: 0.0000, Avg Len: 184, LR: 0.00000098
Epoch:[1/1](45/500), Reward: 0.3460, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0090, Adv Std: 0.9250, Actor Loss: 0.0002, Avg Len: 132, LR: 0.00000098
Epoch:[1/1](46/500), Reward: 0.3456, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0021, Adv Std: 0.9248, Actor Loss: 0.0000, Avg Len: 157, LR: 0.00000098
Epoch:[1/1](47/500), Reward: 0.3594, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0014, Adv Std: 0.9248, Actor Loss: 0.0000, Avg Len: 131, LR: 0.00000098
Epoch:[1/1](48/500), Reward: 0.3612, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0023, Adv Std: 0.9242, Actor Loss: 0.0000, Avg Len: 136, LR: 0.00000098
Epoch:[1/1](49/500), Reward: 0.5812, Fmt: 1.00, Correct: 0.12, KL_ref: -0.0006, Adv Std: 0.9254, Actor Loss: 0.0000, Avg Len: 195, LR: 0.00000098
Epoch:[1/1](50/500), Reward: 0.3804, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0021, Adv Std: 0.9246, Actor Loss: 0.0000, Avg Len: 148, LR: 0.00000098
Epoch:[1/1](51/500), Reward: 0.4126, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0064, Adv Std: 0.9244, Actor Loss: 0.0001, Avg Len: 100, LR: 0.00000098
Epoch:[1/1](52/500), Reward: 0.2981, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0017, Adv Std: 0.9238, Actor Loss: 0.0000, Avg Len: 160, LR: 0.00000098
Epoch:[1/1](53/500), Reward: 0.3608, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0007, Adv Std: 0.9241, Actor Loss: 0.0000, Avg Len: 138, LR: 0.00000098
Epoch:[1/1](54/500), Reward: 0.2703, Fmt: 1.00, Correct: 0.00, KL_ref: 0.0007, Adv Std: 0.6538, Actor Loss: 0.0000, Avg Len: 236, LR: 0.00000097
Epoch:[1/1](55/500), Reward: 0.5737, Fmt: 1.00, Correct: 0.12, KL_ref: -0.0092, Adv Std: 0.9244, Actor Loss: 0.0005, Avg Len: 167, LR: 0.00000097
Epoch:[1/1](56/500), Reward: 0.3332, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0018, Adv Std: 0.9251, Actor Loss: 0.0000, Avg Len: 184, LR: 0.00000097
Epoch:[1/1](57/500), Reward: 0.3495, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0009, Adv Std: 0.9251, Actor Loss: 0.0000, Avg Len: 138, LR: 0.00000097
Epoch:[1/1](58/500), Reward: 0.3797, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0016, Adv Std: 0.9242, Actor Loss: 0.0000, Avg Len: 130, LR: 0.00000097
Epoch:[1/1](59/500), Reward: 0.2812, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0004, Adv Std: 0.6541, Actor Loss: 0.0000, Avg Len: 226, LR: 0.00000097
Epoch:[1/1](60/500), Reward: 0.3515, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0032, Adv Std: 0.9245, Actor Loss: 0.0001, Avg Len: 160, LR: 0.00000097
Epoch:[1/1](61/500), Reward: 0.3512, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0016, Adv Std: 0.9246, Actor Loss: 0.0000, Avg Len: 170, LR: 0.00000097
Epoch:[1/1](62/500), Reward: 0.3335, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0064, Adv Std: 0.9238, Actor Loss: 0.0001, Avg Len: 188, LR: 0.00000097
Epoch:[1/1](63/500), Reward: 0.4435, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0047, Adv Std: 0.9245, Actor Loss: 0.0000, Avg Len: 88, LR: 0.00000097
Epoch:[1/1](64/500), Reward: 0.3824, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0138, Adv Std: 0.9251, Actor Loss: 0.0012, Avg Len: 112, LR: 0.00000096
Epoch:[1/1](65/500), Reward: 0.3349, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0036, Adv Std: 0.9242, Actor Loss: 0.0000, Avg Len: 168, LR: 0.00000096
Epoch:[1/1](66/500), Reward: 0.3046, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0076, Adv Std: 0.9240, Actor Loss: 0.0002, Avg Len: 196, LR: 0.00000096
Epoch:[1/1](67/500), Reward: 0.3136, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0018, Adv Std: 0.6527, Actor Loss: 0.0000, Avg Len: 190, LR: 0.00000096
Epoch:[1/1](68/500), Reward: 0.3927, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0132, Adv Std: 0.9249, Actor Loss: 0.0005, Avg Len: 128, LR: 0.00000096
Epoch:[1/1](69/500), Reward: 0.3890, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0020, Adv Std: 0.9248, Actor Loss: 0.0000, Avg Len: 118, LR: 0.00000096
Epoch:[1/1](70/500), Reward: 0.5783, Fmt: 1.00, Correct: 0.12, KL_ref: -0.0036, Adv Std: 0.9252, Actor Loss: 0.0000, Avg Len: 168, LR: 0.00000096
Epoch:[1/1](71/500), Reward: 0.3449, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0022, Adv Std: 0.9250, Actor Loss: 0.0000, Avg Len: 163, LR: 0.00000096
Epoch:[1/1](72/500), Reward: 0.3244, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0009, Adv Std: 0.9246, Actor Loss: 0.0000, Avg Len: 145, LR: 0.00000095
Epoch:[1/1](73/500), Reward: 0.3173, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0035, Adv Std: 0.9245, Actor Loss: 0.0001, Avg Len: 162, LR: 0.00000095
Epoch:[1/1](74/500), Reward: 0.3146, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0017, Adv Std: 0.9249, Actor Loss: 0.0000, Avg Len: 192, LR: 0.00000095
Epoch:[1/1](75/500), Reward: 0.3368, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0007, Adv Std: 0.9249, Actor Loss: 0.0000, Avg Len: 173, LR: 0.00000095
